L4 | Wed Mar 28 02:57:21 2018 (373 ms) | general | 60 fps
L4 | Wed Mar 28 02:57:21 2018 (373 ms) | general | 120 fps
L4 | Wed Mar 28 02:57:21 2018 (373 ms) | general | 144 fps
L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general | Sticking with user's current screen resolution
L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general | Available video modes:
L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1920 x 1080

L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1680 x 1050

L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1600 x 900

L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1440 x 900

L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1400 x 1050

L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1366 x 768

L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1360 x 768

L4 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1280 x 1024

L5 | Wed Mar 28 02:57:21 2018 (377 ms) | general |    1280 x 960

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    1280 x 800

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    1280 x 768

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    1280 x 720

L4 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    1280 x 600

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    1152 x 864

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    1024 x 768

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    800 x 600

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    640 x 480

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    640 x 400

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    512 x 384

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    400 x 300

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    320 x 240

L5 | Wed Mar 28 02:57:21 2018 (378 ms) | general |    320 x 200

L4 | Wed Mar 28 02:57:21 2018 (433 ms) | general | Freeing sound sprites

L4 | Wed Mar 28 02:57:21 2018 (434 ms) | general | exiting: freeing frameDrawer

L4 | Wed Mar 28 02:57:21 2018 (473 ms) | general | exiting: Deleting screen

L4 | Wed Mar 28 02:57:21 2018 (473 ms) | general | exiting: freeing drawString

L4 | Wed Mar 28 02:57:21 2018 (475 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Mar 28 02:57:21 2018 (664 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Wed Mar 28 02:57:21 2018 (857 ms) | general | exiting: Done.

L4 | Wed Mar 28 02:57:22 2018 (38 ms) | general | Recording game into file recordedGames\recordedGame00003.txt
L1 | Wed Mar 28 02:57:25 2018 (374 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x0_y0.tga does not exist
L1 | Wed Mar 28 02:57:25 2018 (375 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x0_y0_square.tga does not exist
L1 | Wed Mar 28 02:57:25 2018 (375 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x1_y0.tga does not exist
L1 | Wed Mar 28 02:57:25 2018 (375 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x1_y0_square.tga does not exist
L1 | Wed Mar 28 02:57:25 2018 (375 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x2_y0.tga does not exist
L1 | Wed Mar 28 02:57:25 2018 (375 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x2_y0_square.tga does not exist
L1 | Wed Mar 28 02:57:25 2018 (375 ms) | general | CRITICAL ERROR:  TGA file groundTileCache/biome_99999_x3_y0.tga does not exist
